ID	Source
ID	>A oboInOwl:source
http://purl.obolibrary.org/obo/MBA_1	 https://orcid.org/0000-0002-6601-2165
http://purl.obolibrary.org/obo/MBA_100	 https://orcid.org/0000-0002-6601-2165
http://purl.obolibrary.org/obo/MBA_1000	 https://orcid.org/0000-0002-6601-2165
http://purl.obolibrary.org/obo/MBA_1004	 https://orcid.org/0000-0002-6601-2165
http://purl.obolibrary.org/obo/MBA_1007	 https://orcid.org/0000-0002-6601-2165
http://purl.obolibrary.org/obo/MBA_1008	 https://orcid.org/0000-0002-6601-2165
http://purl.obolibrary.org/obo/MBA_101	 https://orcid.org/0000-0002-6601-2165
http://purl.obolibrary.org/obo/MBA_1011	 https://orcid.org/0000-0002-6601-2165
http://purl.obolibrary.org/obo/MBA_1016	 https://orcid.org/0000-0002-6601-2165
http://purl.obolibrary.org/obo/MBA_1017	 https://orcid.org/0000-0002-6601-2165
http://purl.obolibrary.org/obo/MBA_1019	 https://orcid.org/0000-0002-6601-2165
http://purl.obolibrary.org/obo/MBA_102	 https://orcid.org/0000-0002-6601-2165
http://purl.obolibrary.org/obo/MBA_1020	 https://orcid.org/0000-0002-6601-2165
http://purl.obolibrary.org/obo/MBA_1022	 https://orcid.org/0000-0002-6601-2165
http://purl.obolibrary.org/obo/MBA_1025	 https://orcid.org/0000-0002-6601-2165
http://purl.obolibrary.org/obo/MBA_1028	 https://orcid.org/0000-0002-6601-2165
http://purl.obolibrary.org/obo/MBA_103	 https://orcid.org/0000-0002-6601-2165
http://purl.obolibrary.org/obo/MBA_1031	 https://orcid.org/0000-0002-6601-2165
http://purl.obolibrary.org/obo/MBA_1033	 https://orcid.org/0000-0002-6601-2165
http://purl.obolibrary.org/obo/MBA_1036	 https://orcid.org/0000-0002-6601-2165
http://purl.obolibrary.org/obo/MBA_1037	 https://orcid.org/0000-0002-6601-2165
http://purl.obolibrary.org/obo/MBA_1038	 https://orcid.org/0000-0002-6601-2165
http://purl.obolibrary.org/obo/MBA_1039	 https://orcid.org/0000-0002-6601-2165
http://purl.obolibrary.org/obo/MBA_1041	 https://orcid.org/0000-0002-6601-2165
http://purl.obolibrary.org/obo/MBA_1044	 https://orcid.org/0000-0002-6601-2165
